가마저,,,,,,,,,,,
,위치,구분,식당이름,추천메뉴,특징,,,,,,
,구영리,한식,어하복국,"복계탕, 복지리",직원들 많이감. 반찬 잘나오고 퀄 좋음 더 비싸졌음 ㅜ,,,,,,
,구영리,한식,언양닭칼국수,"닭칼국수, 닭곰탕",반마리 추가+면추가 하면 2명이 먹을 수 있음,,,,,,
,구영리,카페,열두달,주문케이크,,,,,,,
,구영리,한식,엽기떡볶이,로제떡볶이 오리지널,,,,,,,
,구영리,한식,오리박사,점심 오리탕,,,,,,,
,구영리,한식,이춘봉인생치킨,,,,,,,,
,구영리,한식,일품장어,장어구이,비싸 맛있어 장어탕은 별로,,,,,,
,구영리,한식,입암손두부,순두부찌개,옛날 돈미소자리 소고기순두부찌개임,,,,,,
,구영리,한식,전주이가네콩나물국밥,,"가성비 갑, 해장하기 좋음",,,,,,
,구영리,한식,정나루,매운칼국수 바지락칼국수 들깨칼국수 흑마늘보쌈,"만두 육즙이 폭발함, 흑마늘 보쌈 강추!!!!!!! ",,,,,,
,구영리,한식,정성순대,순대전골,"전골이 맛나요, 근데 직원 몇 없어서 오래 기다려야됨 ㅠㅠ",,,,,,
,구영리,한식,지향,광동식 탕수육,,,,,,,
,구영리,한식,짚신매운갈비찜,갈비찜,"맵기조절가능, 고기 부드러워요",,,,,,
,구영리,한식,참뼈감자탕,"감자탕, 뼈해장국",,,,,,,
,구영리,한식,철판떼기,,곱창좋아하시는분들 추가하면 존맛,,,,,,
,구영리,한식,청학동칼국수,칼국수 수제비 샤브샤브,,,,,,,
,구영리,한식,최쉐프,"연어덮밥, 오믈렛, 돈까스, 파스타","사장님 불친절, 한우덮밥 짜다는 의견있음,   모듬 돈까스는 곱배기 추가하시면 적은 금액으로 양 많이 먹을 수 있음(추천)",,,,,,
,구영리,한식,춘천닭갈비,,점심에 예약제로 바뀜,,,,,,
,구영리,한식,코너381카페,,,,,,,,
,구영리,중식,탕수육코리아,치탕,저녁에만 가능,,,,,,
,구영리,중식,탕화쿵푸,"마라탕, 꿔바로우",1단계(신라면맵기) 신라면보다 안매움. 라화공방보다 땅콩소스맛 조금더 남,,,,,,
,구영리,한식,앞길비빔밥,비빔밥,언양 산들 짭,,,,,,
,구영리,한식,하오츠,중국음식,점심시간 현금결제시 저렴,,,,,,
,구영리,한식,하월가,곤드레밥,2인이상주문 반찬종류 많이나옴 와 반찬이 너무 많아서 다못먹음,,,,,,
,구영리,한식,한량,"밀크티, 베이커리류","하오츠-한량커피 루트 = 국룰, 요즘 테이크아웃 하면 할인도됨",,,,,,
,구영리,한식,한발두발족발,,촉촉 향긋 찐맛집,,,,,,
,구영리,한식,핸즈커피,와플,사장님 손 빠르심. 전화 주문하고 가면 바로 받을 수 있음.,,,,,,
,구영리,한식,향수,"고기, 쭈꾸미",양념갈비가 맛있음.,,,,,,
,구영리,한식,호훈테이블,"리조또, 파스타, 피자, 샐러드","넘 비싸짐 ㅠㅠ,  안심리조또는 존맛이지만 비쌈, 예약해도 오래 기다려야됨(손님 모시고 갔을 때 최악..)",,,,,,
,구영리,한식,화덕에 구운 고등어,고등어 갈치,화덕에 구워서 그런가 맛있음 / 누리마루 감자탕 자리,,,,,,
,구영리,한식,카페파운드,,"디저트 다 맛있고 점심 때 가려면 미리 전화주문 하는게 나음! 사장님 무뚝뚝한 편, 오해마시길.",,,,,,
,구영리,한식,화오뎅,,배달도 됩니다~,,,,,,
,구영리,한식,동동국밥,우동국밥,구영리 신흥강자,,,,,,
,구영리,한식,멘모찌,"텐푸라김초밥,비빔텐풋카케우동","테이블링 안되고, 12시 정각 맞춰 도착하면 40분 기다리라고 함(복불복인듯...?)",,,,,,
,구영리,한식,품다올밥상,"간장게장, 양념게장",,,,,,,
,구영리,한식,양포항,아구불고기덮밥,불향나고 매콤 주차장도있고 굿굿,,,,,,
,구영리,한식,구울계,숯불닭갈비,오후 4시 오픈,,,,,,
,구영리,한식,국수만,"잔치국수, 비빔국수",고물가 시대 단돈 5천원으로 점심 해결 가능,,,,,,
,구영리,한식,산골오리와 집밥,두루치기정식,된찌 김찌 8천원,,,,,,
,구영리,한식,등대갈비,양념갈비 존맛,오후 4시 오픈,,,,,,
,구영리,한식,소소 화로구이,,분위기 좋은 소고기 집!!! 음식 깔끔하게 나오고 고기 살살 녹음 ㅠㅠ - 양은 기대 ㄴㄴ,,,,,,
,학교인근,한식,작은카페,"짜파구리, 덮밥류",,,,,,,
,학교인근,한식,도쿄야,"카레, 우동",,,,,,,
,학교인근,한식,아가파오,밀크티,,,,,,,
,학교인근,한식,박사반점,"짬뽕비빔밥, 짬뽕,중국요리류, 가지덮밥","불향이 굿, 요리류도 맛있음,  호텔 주방장 출신이라 함.",,,,,,
,학교인근,한식,미풍향,오리고기,음식 미리 예약 추천. 외진곳에 있지만 자리 없는 경우 종종 있음.,,,,,,
,학교인근,한식,정담,장어탕,,,,,,,
,학교인근,한식,아름드레,"커피, 차",휴업중,,,,,,
,학교인근,한식,울산수구레,수구레국밥,"차로 3분 초가까운 거리, 후추후추매콤얼큰한 소고기 국밥, 쭬깃수구레 맛나요. 가격 오름",,,,,,
,학교인근,한식,양지혜 매운수제비,"매운수제비, 만두",,,,,,,
,학교인근,한식,범서식육식당,"갈비탕, 불고기전골",불고기전골 드셔보셨나요?????? 강추! 국밥만 먹었었는데.. 불고기전골도 맛있네????????????(점심 예약 안되는거 오늘 알았음..),,,,,,
,학교인근,한식,옹심이칼국수,"칼국수, 감자전, 메밀국수",,,,,,,
,학교인근,한식,해월당,빵집,,,,,,,
,학교인근,한식,가마정,"오리고기 단호박밥, 오리불고기",단체회식하기좋음,,,,,,
,학교인근,한식,본향 산야초,생선구이 삼겹살 백숙 등등 한식,,,,,,,
,학교인근,한식,이화정,비빔밥,한식 좋아하시는 부모님 모시고 가면 좋아함.  반찬은 사장님이 다 담근것,,,,,,
,학교인근,한식,카페 메이플,,조용하고 어른들이 좋아할만한 분위기(특히 어머님들),,,,,,
,학교인근,한식,디셈버나인,커피,신소재교수님들이 자주출몰하심ㅎㅎ 에너지교수님들도..,,,,,,
,학교인근,한식,경희식당,"숯불불고기정식, 김치찌개, 오징어볶음","반찬 잘나옴. 어르신들이 많고,  학교직원들도 종종보임. 차있어야함",,,,,,
,학교인근,한식,구수리370,,"고양이있음, 뷰 좋음",,,,,,
,학교인근,한식,베리굿카페,,카페인데 잔치국수 팜 -> 육수맛으로도 맛있음!!!,,,,,,
,학교인근,,백도짬뽕,,밥무제한,,,,,,
,천상리,,영배의식탁,"돈가스, 초밥",영배는 소바지 + 연어덮밥도 끼워죠,,,,,,
,천상리,,일품돈가스,"돈가스, 우동",,,,,,,
,천상리,,돈카츠마켙,"돈가스(단품가능), 메밀, 우동, 수제카레",맛과 가성비. 여러가지 조합해서 먹기 좋음.  안심+치즈+카레 추천함.  ,,,,,,
,천상리,,큰길돼지국밥,돼지국밥 순대국밥. 수육백반,육수 소진시 영업종료. 보통 저녁에는 못간다고 봄.  은근 수육백반도 괜찮음. 아주 작은 테이블도 있어서 혼자가도 눈치 안봐도 됨,,,,,,
,천상리,,그집보쌈,,,,,,,,
,천상리,,고집센그집갈비탕,,"국물간이 세고, 고기가 좀 질긴편.  찜이 더 나았음",,,,,,
,천상리,,금자옛날떡볶이,,배달가능,,,,,,
,천상리,,엄마손뚝배기,,"명절에 장사 안하고  반찬, 전 같은거 팜",,,,,,
,천상리,,빨봉분식,,,,,,,,
,천상리,,선비꼬마김밥,"떡볶이, 꼬마김밥",천상 새로생긴분식집 떡볶이 졸맛탱!!,,,,,,
,천상리,,스고이,일식,비싸고 맛있다(고함) 맛있음 내가 갔음 ,,,,,,
,천상리,,신촌,파스타 샐러드 스테이크,한옥 맛은 그냥그냥,,,,,,
,천상리,,수야돈까스,,돈까스 야끼우동 굿,,,,,,
,천상리,,돼지팥빙수,김밥 팥빙수,"식전빵 맛있음, 곶감치즈 맛있습니다. 각 메뉴 가격대비 양이 꽤 많습니다. -> 구영리로 옮겼음",,,,,,
,천상리,,제이스키친,파스타 감바스,,,,,,,
,천상리,,뼈누리감자탕,해장국 종류다양,,,,,,,
,천상리,,등뼈,"감자탕, 해장국","간이 안세고, 천상 감자탕 중에 제일 굿.",,,,,,
,천상리,,하진손만두칼국수,"만두국,  만두(고기,김치,군만두)",별거없는데 맛있음. 홀 작음,,,,,,
,천상리,,유승추어탕,추어탕,"비린내 1도 없음. 어탕 같은 느낌인데, 입에 거슬리는 것 없는 유명한 맛집입니다.",,,,,,
,천상리,,꼬치하루,"꼬치류(쯔쿠네 필수), 가라아게, 카프레제","주인이 직접 발골해서 꼬치만듬. 퀄 좋고, 가격은 중상(세트기준), 의외로 카프레제 존맛. ",,,,,,
,천상리,,전해주오,,,,,,,,
,천상리,,영농참숯뒷고기,"꼬들목살, 편항정, 모듬, 된찌","2인기준 꼬들1판+편항정 반판 추천,  된장찌개 맛있음. 저녁시간에 애매하게 가면 자리없음. 오래 줄서야함.",,,,,,
,천상리,,탕화방마라탕 천상점,"마라샹궈, 총좌빙, 빙홍차",맛은 있지만.  자주 재료 빼먹음. 추가 중량/비율 안맞추는 경우도 많음. 잘못해도 연락하기 전에 입 닫고 있음.,,,,,,
,천상리,,국시하우스,"열무국수, 잔치국수","양 푸짐. 사장님이 김치, 깍두기 진짜 잘 담그심!!!! 여름엔 열무국수 강추~~",,,,,,
,천상리,,뚜구리,"오징어볶음, 뽈탕",,,,,,,
,굴화,,굴하우스,"굴전, 굴국밥","겨울에 최고, 간이 짠 편.",,,,,,
,굴화,,우정담,소고기,점심특선 활용하세요 비싸긴한데.. 맛은 굳,,,,,,
,굴화,카페,파라안,밤식빵 느므 맛있음..,"넓은 주차장, but 사악한 가격",,,,,,
,굴화,,인화당,"만두, 손만둣국, 열무국수",맛있고 깔끔 시원해지고 갑시다,,,,,,
,굴화,,스시아오,배달도 됨,가격은 비싼 편임,,,,,,
,굴화,,정가네부산밀면,"밀면(물,비빔,물비빔,회밀면), 손만두",인근 밀면집 중 제일 괜찮음. 꼭 손만두랑 먹어야함.  포장가능(포장시 기본 식초뿌려주니 싫으면 빼달라고 해야함),,,,,,
,굴화,,은희네해장국,,국물 리필됨!!!!!!,,,,,,
,굴화,,정안정,갈비찜,,,,,,,
,굴화,,황금정,"갈비탕, 갈비찜, 냉면",,,,,,,
,굴화,,폴콘 오리스,"파스타, 피자",총장님 출몰맛집 / 23년 12월말까지 휴점,,,,,,
,굴화,,만고당,,,,,,,,
,무거동,,,,,,,,,,
,무거동,,우미일식,,,,,,,,
,무거동,,큰그릇,,점심에 삼겹살을!!,,,,,,
,무거동,,,두루치기 맛집,,,,,,,
,무거동,,미진돌곱창,JMT...,선지국 JMT,,,,,,
,태화동,,비단미미,"흑식초탕수육, 칠리새우","신세계 레스케이프호텔 유명 중식당인 ""팔레드신"" 출신 주방장이 하는 중국식 중식집. 맛있다. 간이 셈. 비쌈.(1인당 3만원 이상 예산 필요)",,,,,,
,태화동,,덕클,"원앙볶음밥, 에그누들, 가지튀김","웨이팅 쩔 핫플, 가지튀김 굳, 걍 중식 맛 (금옥만당 사장님과 동일)",,,,,,
,태화동,,이가네복국 태화점,복전골 복튀김 복껍질무침 쭈꾸미,다 졸맛탱임 개추천,,,,,,
,태화동,,정원면가,장칼국수,장칼국수 정구지전 맛있음,,,,,,
,언양,,하와이새우트럭,"갈릭새우, 함박스테이크","반반 메뉴 시킬 때, 갈릭 더달라고 하는게 균형이 맞음. 의외로 함박 부드럽고 맛있음/ 문닫은듯,,,네이버 검색안됨,,",,,,,,
,언양,,금돈카츠,"로스카츠, 히레카츠, 카레 등등",기름이 깨끗하고 많이 먹어도 질리지 않음 ,,,,,,
,언양,,백비티 클래식,"치아바타, 로제파스타, 함박스테이크, 유부초밥","브런치 인테리어 갬성 맛집, 사장님 손이 느려서 음식 나오는데 오래걸림 미리 주문하고 가셈",,,,,,
,언양,,기와집불고기,,비싸고 무난한맛. 남의돈으로 먹어야 맛있다,,,,,,
,언양,,본밀크,,흑임자 호불호 있음.  반반시키면 섞인거주니 주의,,,,,,
,언양,,동부분식,"칼국수, 김밥",,,,,,,
,언양,,교동면옥,밀면,,,,,,,
,언양,,동해반점,"볶음면, 짜장면","볶음면이 유명, 점심에가면 만두무제한",,,,,,
,언양,,롱브레드,브런치맛집,,,,,,,
,언양,,언양밀면,,,,,,,,
,언양,,언양1번가주먹떡갈비,,,,,,,,
,언양,,어부의만찬,생선구이,다양하게 맛볼수있는 생선,,,,,,
,언양,,본가네추어탕,추어튀김,,,,,,,
,언양,,나해돌솥밥,,,,,,,,
,언양,,가랑잎새,,교수님이랑 가는곳1,,,,,,
,언양,,도동산방,,교수님이랑 가는곳2,,,,,,
,언양,,시래담,,,,,,,,
,언양,,정담민물장어,"장어구이, 장어탕",,,,,,,
,언양,,가마솥뼈다귀해장국,,하루 파는양이 정해져있음 늦게가면없어요,,,,,,
,언양,,리즈테이블,"뇨끼, 파스타, 리조또",오롯소반으로 바뀜,,,,,,
,언양,,일월의 정원,스테이크 퓨전한식,,,,,,,
,언양,,밥하우스,,"김밥, 제주모닥치기, 납작비빔만두",,,,,,
,언양,,차미,"불고기 덮밥, 카레 등등 가정밥",깔끔 정갈하게 나옴 맛있음 양은 적은편ㅠ,,,,,,
,언양,,언양불고기식당,육불비빔밥 한우국밥,,,,,,,
,언양,,황금성정통중화요리,,주차장넓음 볶음짬뽕 탕수육 맛있음,,,,,,
,언양,,촘촘,"팟타이, 쌀국수 등 동남아 음식",예약 필수,,,,,,
,언양,,순미생선구이,고갈비,고갈비 졸맛탱 강추 언양신상맛집 촘촘바로앞에있음 고갈비 먹고 옆에 촘촘옆에 푸푸커피에서 요거트아이스크림 먹어줘야함,,,,,,
,언양,,바우식당,제육정식 삼겹정식 부대찌개 등 백반집,돌솥밥선택시 2000원추가되는듯,,,,,,
,언양,,진짜순대,"순대국밥(흰거), 순대전골(빨간거), 모듬순대","전골먹으면 볶음밥 필수, 잘 모르는 맛집.  깍두기-국밥, 김치-순대 조합이 완벽함",,,,,,
,언양,,언양가정식당,"뚝불, 순두부찌, 된찌 김찌",순두부 강추,,,,,,
,언양,,언양물닭갈비,메뉴 한개,우동사리 추가/쫄면사리도 맛있어요!,,,,,,
,언양,,향산가든,"오리불고기, 오리소금구이, 고등어된장찌개 정식",고등어조림정식만원,,,,,,
,언양,,사나래,"불고기, 된장비빔파스타, 한우매운탕",졸라멀지만 추천(법카아님돈아까움),,,,,,
,언양,,산들,비빔밥,,,,,,,
,언양,,시래담,,시래기밥 한우불고기 건강한맛,,,,,,
,언양,,KING 수제돈까스,돈까스,"허름하고 지저분할 듯한 외관과 달리 깨끗한 실내, 울산의 숨은 돈까스 맛집 (스프도 나온다구~) 주인집 할머니의 특제 소스가 일품",,,,,,
,언양,,로망스아구찜,순살아구찜,여자 5명 큰중 엄청 쪼금 두조각 남음,,,,,,
,언양,,스페이스오드,,아이스크림라떼 진짜 세상에서 제일 맛없음,,,,,,
,언양,,두울원,"칼국수, 돌판비빔밥",파전은 쏘쏘,,,,,,
,언양,,보릿고개,비빔밥,"시골아줌마 손맛, 멸치볶음이랑 열무김치를 꼭 밥에 넣고 비비세요",,,,,,
,언양,,모도리,"소고기버섯전골, 언양식불고기, 오리불고기 등",언양 양우내안에 근처 새로생긴 깔끔한곳 유니스트사람 많이 없음!,,,,,,
,언양,,오르토커피,,모도리랑 가까움 남자사장님 잘생겼음,,,,,,
,언양,,농도,비빔밥,"14:00까지만  농도정식(비빔밥) 판매, 분위기+맛 좋음",,,,,,
,언양,,선육후면,,고기 구워줌 점심에 예약하고 가면 좋음,,,,,,
,언양,,이가네보쌈,,17시부터 영업. 언양로컬맛집. 보쌈을 가브리살로 만듦. 쟁반국수도 맛있는뎅ㅎㅎ많이 가주세요.,,,,,,
,언양,,오롯소반,,"규동정식, 1인스키야키, 장어덮밥, 함박정식",,,,,,
,언양,,약선진가,약선삼계탕,먹고나면 몸이 건강해지는 기분,,,,,,
,언양,,소트로,솥밥,먹고나면 몸이 건강해지는 기분,,,,,,
,언양,,토바기,,쫄깃목살 언양에서 저녁회식할때 가기조음,,,,,,
,언양,,현풍식당,,한우 맛있는집 생긴지 오래되지 않아서 깔끔함,,,,,,
,언양,,고궁영양탕삼계탕,삼계탕,영양탕집이지만 삼계탕도 맛있음,,,,,,
,언양,,웰빙하우스,아구찜,이런곳에 아구찜집이..?하는곳에 있음..예약 안해주는데 유니스트라고 하면 예약 됨(언양점 말고 삼동 본점에 가야함),,,,,,
,언양,,석이뒷고기,뒷고기,지금까지 먹어본 뒷고기중에 제일 맛있음..반찬 짱 맛있음..수저 개별포장 그만큼 사장님이 깔끔하고 정갈한거 좋아하심,,,,,,
,언양,,먹쇠뒷고기,뒷고기,석이 뒷고기 자리없으면 가는곳..지금까지 먹어본 뒷고기중에 두번째로 맛있음,,,,,,
,언양,,금룡각,땡초볶음간짜장,점심장사만 함. 평일에 가기에는 거리도 있고 도착하면 이미 꽉차서 주말에 가는것을 추천,,,,,,
,언양,,김밥소풍,"키토김밥, 궁채김밥",키토김밥 존맛탱..다른김밥 안먹어봤는데 다 맛있는거같음..김밥장인이신듯,,,,,,
,언양,,할매국수,매운칼국수,산초의 맛 즐기시는 분 좋아하실만한 곳. 율리 저수지휴기실 매운 수제비랑 맛 비슷함,,,,,,
,언양,,프렙로스터스,아이스라떼,웬만한 시내 커피집만큼 라떼가 맛있음. 가격도 괜춘,,,,,,
,언양,,해돋이가든,누룽지백숙,예약 필수,,,,,,
,도시락,,꼬시락,"수제도시락, 쌈밥도시락 무난","가격대별 메뉴 구성 논의 가능 (카톡, 인스타, 010 3443 8634)",,,,,,
,도시락,,선혜미가,한식 도시락,"가격대별 메뉴 구성 논의 가능 (카톡, 인스타 cha_sun_hye , 010 3845 2455) 5개정도 소량가능",,,,,,
,도시락,,짱도시락,퓨전수제도시락,가격대별 메뉴 구성 논의 가능(카톡채널:짱도시락 검색),,,,,,
,도시락,,한솥도시락,,,,,,,,
,도시락,,푸드살롱,,010 5762 7167,,,,,,
,도시락,,피크닉쉐프,수제도시락,"가격대별 메뉴 구성 논의 가능 (카톡, 인스타, 010-9797-1582)",,,,,,
,도시락,,소반,톳밥 정식,미역국에서 푹익은 파리 나온적 있음 ㅎㅎㅎ,,,,,,
,도시락,,키친708,퓨전수제도시락,010-3804-0708,,,,,,
,도시락,,소풍가는길,수제도시락,"010-6807-0517 인스타 so__pung  사장님이 큰손, 김밥짱맛있음",,,,,,
,도시락,,우미일식,일식 도시락,,,,,,,
,도시락,,본도시락,,,,,,,,
,도시락,,해든쿠킹스튜디오,"수제도시락, 케이터링",010-9311-7496 인스타 : haedencooking,,,,,,
,도시락,,댓잎장어,장어덮밥,포장만 가능 배달놉 → 이제 배달도 가능함 배달비는 따로받음!,,,,,,
,도시락,,삿포로,일식 도시락,,,,,,,
,도시락,,외식명가 삼산정,"갈비, 불고기 도시락",052-268-0333,,,,,,
,도시락,,만만,"한식, 가성비좋음",문의 010-3889-9898 양많음 5개정도 소량 가능,,,,,,
,도시락,,마리쉐프,,010 3566 5848,,,,,,
,도시락,,달콤한리화,,,,,,,,
,도시락,,단디무라 달동점,,,,,,,,
,도시락,,더 소풍,수제도시락,010 3342 6868,,,,,,
,도시락,,브라더한정식도시락,,"브라더 한정식 도시락, 맛과 퀄은 보통",,,,,,
,도시락,,푸드서비스행복한밥상,,인스타 happytable.ulsan / 052 292 5540,,,,,,
,도시락,,더푸드랩,,"https://blog.naver.com/kkmy9084, 010 9332 3858",,,,,,
,도시락,,원할머니명품도시락,,"배민활용, 울산무거점, 전화를 잘안받음",,,,,,
,도시락,,갓샐러드,,울대,,,,,,
,도시락,,청담피자,,울대,,,,,,
,도시락,,김충기꽃삼겹,,배민활용,,,,,,
,도시락,,하와이새우트럭,갈릭새우,"배달비가 비싸요 13,000원",,,,,,
,도시락,,민들레상점,"샐러드, 유부초밥","중구, 배달비 10,000원",,,,,,
,도시락,,미소찬도시락,수제도시락,"010 9397 6908 인스타: mi_so_chan, 배달비 30,000원(개수상관없음)",,,,,,
,도시락,,훈훈카츠,,배민,,,,,,
,도시락,,돈쫄돈,,배민,,,,,,
,도시락,,다다상점,아기 소풍도시락st,010-4467-7009 인스타 dada_sangjeom,,,,,,
,도시락,,수유리혼밥왕,,"배민, 가성비 삼산정느낌? 배달비 비쌈",,,,,,
,도시락,,제육대왕&비빔밥여왕,비빔밥,,,,,,,
,도시락,,도시락 채우다,,"인스타: dosirak_cheuoda , 010 4136 8959",,,,,,
,도시락,,불티나는 압력솥김치찜 1392,묵은지삼겹김치찜,"배민전용, 입에서 살살녹는 돼지고기 김치찜 밥도둑 졸맛탱",,,,,,
,도시락,,소연화,수제도시락,고급스러운 도시락/ 젓가락 꼭 달라고 말하기 010 4570 3313 최소 2일 전 예약주문,,,,,,
